0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;label
35.0;20.0;36.0;20.0;35.0;24.0;34.0;26.0;34.0;28.0;33.0;31.0;33.0;35.0;32.0;38.0;32.0;41.0;32.0;43.0;31.0;45.0;31.0;47.0;30.0;49.0;31.0;51.0;32.0;51.0;33.0;51.0;35.0;50.0;36.0;50.0;39.0;47.0;40.0;45.0;41.0;43.0;41.0;41.0;42.0;40.0;42.0;37.0;42.0;35.0;41.0;34.0;40.0;33.0;37.0;34.0;35.0;36.0;34.0;37.0;33.0;38.0;32.0;39.0;b
41.0;39.0;41.0;39.0;41.0;39.0;41.0;39.0;41.0;39.0;41.0;39.0;41.0;39.0;41.0;39.0;41.0;39.0;40.0;39.0;39.0;39.0;38.0;40.0;37.0;41.0;36.0;43.0;35.0;44.0;33.0;46.0;32.0;48.0;32.0;50.0;31.0;52.0;31.0;53.0;31.0;54.0;32.0;55.0;32.0;56.0;33.0;56.0;34.0;56.0;35.0;57.0;36.0;56.0;38.0;56.0;40.0;55.0;41.0;54.0;42.0;54.0;42.0;53.0;c
39.0;32.0;38.0;32.0;37.0;33.0;36.0;34.0;34.0;35.0;33.0;38.0;32.0;40.0;31.0;43.0;31.0;46.0;31.0;47.0;32.0;47.0;33.0;47.0;35.0;45.0;37.0;42.0;38.0;39.0;39.0;34.0;41.0;30.0;42.0;25.0;43.0;22.0;44.0;19.0;44.0;18.0;44.0;17.0;43.0;18.0;43.0;19.0;42.0;19.0;41.0;22.0;41.0;26.0;40.0;31.0;39.0;38.0;39.0;45.0;40.0;47.0;42.0;48.0;d
33.0;44.0;34.0;44.0;35.0;44.0;35.0;43.0;36.0;43.0;37.0;43.0;38.0;42.0;40.0;41.0;41.0;40.0;42.0;39.0;42.0;36.0;41.0;36.0;40.0;36.0;39.0;37.0;37.0;37.0;36.0;38.0;35.0;40.0;34.0;41.0;32.0;44.0;32.0;46.0;31.0;48.0;31.0;51.0;31.0;52.0;31.0;55.0;31.0;57.0;32.0;58.0;33.0;58.0;34.0;58.0;35.0;58.0;37.0;58.0;39.0;57.0;41.0;56.0;e
38.0;32.0;40.0;30.0;41.0;28.0;43.0;24.0;44.0;22.0;45.0;20.0;48.0;14.0;45.0;8.0;44.0;9.0;43.0;11.0;41.0;14.0;39.0;17.0;38.0;21.0;37.0;24.0;36.0;29.0;36.0;32.0;35.0;34.0;33.0;45.0;32.0;50.0;31.0;55.0;28.0;60.0;25.0;59.0;27.0;54.0;28.0;52.0;30.0;47.0;32.0;42.0;34.0;40.0;36.0;36.0;38.0;35.0;40.0;35.0;42.0;34.0;44.0;34.0;f
45.0;22.0;44.0;21.0;43.0;20.0;42.0;21.0;41.0;22.0;40.0;23.0;39.0;24.0;38.0;27.0;39.0;33.0;40.0;33.0;41.0;33.0;42.0;33.0;43.0;33.0;44.0;32.0;45.0;32.0;47.0;30.0;47.0;21.0;46.0;26.0;44.0;38.0;43.0;47.0;42.0;51.0;41.0;55.0;40.0;58.0;39.0;60.0;38.0;61.0;36.0;63.0;37.0;57.0;38.0;56.0;39.0;54.0;44.0;47.0;46.0;44.0;48.0;42.0;g
32.0;39.0;34.0;38.0;35.0;36.0;36.0;35.0;39.0;31.0;42.0;27.0;43.0;25.0;44.0;23.0;45.0;21.0;46.0;20.0;47.0;18.0;47.0;14.0;46.0;15.0;45.0;16.0;44.0;17.0;43.0;20.0;41.0;22.0;40.0;24.0;38.0;30.0;35.0;42.0;33.0;46.0;33.0;49.0;37.0;41.0;38.0;39.0;39.0;38.0;40.0;37.0;42.0;35.0;43.0;35.0;44.0;39.0;45.0;44.0;46.0;45.0;47.0;44.0;h
38.0;28.0;39.0;29.0;39.0;29.0;39.0;29.0;38.0;30.0;38.0;31.0;37.0;32.0;37.0;34.0;37.0;36.0;37.0;38.0;36.0;40.0;37.0;41.0;37.0;43.0;37.0;44.0;38.0;45.0;38.0;46.0;39.0;46.0;40.0;46.0;41.0;46.0;42.0;45.0;44.0;44.0;46.0;42.0;41.0;15.0;42.0;15.0;42.0;15.0;42.0;15.0;42.0;15.0;42.0;15.0;42.0;15.0;43.0;15.0;43.0;15.0;43.0;15.0;i
34.0;37.0;35.0;37.0;36.0;36.0;37.0;34.0;39.0;32.0;40.0;31.0;41.0;29.0;42.0;28.0;43.0;26.0;42.0;32.0;41.0;34.0;40.0;38.0;39.0;45.0;37.0;54.0;36.0;57.0;35.0;60.0;33.0;64.0;32.0;65.0;31.0;67.0;29.0;68.0;30.0;64.0;31.0;62.0;32.0;60.0;34.0;55.0;35.0;50.0;36.0;48.0;37.0;46.0;38.0;42.0;39.0;41.0;41.0;41.0;42.0;42.0;47.0;10.0;j
35.0;42.0;37.0;40.0;38.0;39.0;39.0;37.0;40.0;36.0;41.0;35.0;42.0;33.0;44.0;32.0;45.0;30.0;46.0;28.0;48.0;24.0;47.0;20.0;45.0;22.0;44.0;24.0;42.0;26.0;41.0;29.0;40.0;31.0;35.0;47.0;33.0;52.0;37.0;44.0;39.0;41.0;40.0;40.0;40.0;43.0;39.0;45.0;38.0;47.0;37.0;49.0;38.0;51.0;39.0;51.0;40.0;51.0;41.0;51.0;43.0;51.0;44.0;51.0;k
32.0;46.0;34.0;46.0;35.0;45.0;36.0;43.0;37.0;41.0;39.0;39.0;42.0;34.0;44.0;32.0;45.0;30.0;46.0;28.0;47.0;27.0;48.0;25.0;49.0;23.0;49.0;21.0;49.0;19.0;50.0;19.0;49.0;18.0;48.0;18.0;47.0;19.0;45.0;23.0;43.0;26.0;42.0;28.0;41.0;30.0;40.0;33.0;39.0;36.0;38.0;38.0;38.0;43.0;38.0;45.0;40.0;46.0;42.0;46.0;43.0;45.0;45.0;44.0;l
20.0;54.0;22.0;52.0;25.0;50.0;26.0;48.0;28.0;46.0;30.0;45.0;31.0;44.0;32.0;44.0;32.0;47.0;32.0;49.0;31.0;51.0;29.0;59.0;30.0;57.0;30.0;55.0;31.0;54.0;35.0;45.0;37.0;44.0;37.0;46.0;37.0;51.0;36.0;54.0;36.0;52.0;37.0;49.0;38.0;47.0;40.0;44.0;41.0;42.0;42.0;44.0;42.0;46.0;42.0;48.0;42.0;51.0;41.0;52.0;42.0;53.0;44.0;52.0;m
33.0;33.0;32.0;33.0;32.0;34.0;32.0;37.0;31.0;38.0;30.0;41.0;30.0;43.0;29.0;46.0;29.0;48.0;29.0;51.0;28.0;53.0;28.0;55.0;28.0;58.0;32.0;40.0;33.0;38.0;34.0;37.0;35.0;37.0;35.0;36.0;36.0;36.0;37.0;36.0;37.0;37.0;38.0;38.0;38.0;39.0;38.0;41.0;38.0;43.0;38.0;45.0;38.0;47.0;38.0;49.0;38.0;51.0;38.0;52.0;38.0;53.0;37.0;54.0;n
38.0;31.0;37.0;32.0;36.0;32.0;35.0;34.0;34.0;35.0;32.0;37.0;31.0;39.0;30.0;41.0;29.0;43.0;28.0;45.0;28.0;47.0;28.0;48.0;29.0;50.0;30.0;50.0;31.0;50.0;32.0;50.0;34.0;49.0;35.0;48.0;36.0;46.0;38.0;45.0;39.0;43.0;41.0;42.0;43.0;40.0;45.0;38.0;46.0;36.0;46.0;34.0;47.0;33.0;46.0;32.0;45.0;31.0;43.0;31.0;40.0;31.0;38.0;31.0;o
34.0;26.0;34.0;27.0;34.0;27.0;33.0;27.0;33.0;28.0;33.0;30.0;32.0;33.0;30.0;40.0;28.0;49.0;27.0;54.0;26.0;61.0;25.0;66.0;24.0;68.0;24.0;69.0;23.0;70.0;32.0;28.0;32.0;27.0;33.0;26.0;34.0;26.0;35.0;25.0;35.0;25.0;37.0;24.0;38.0;24.0;39.0;25.0;39.0;26.0;40.0;26.0;39.0;27.0;39.0;29.0;37.0;33.0;33.0;38.0;30.0;42.0;29.0;44.0;p
36.0;32.0;36.0;32.0;37.0;32.0;37.0;32.0;37.0;32.0;36.0;31.0;35.0;31.0;35.0;31.0;34.0;32.0;33.0;33.0;31.0;34.0;29.0;36.0;28.0;38.0;28.0;41.0;27.0;43.0;28.0;44.0;29.0;44.0;31.0;44.0;33.0;42.0;35.0;40.0;37.0;36.0;38.0;32.0;38.0;30.0;38.0;30.0;38.0;30.0;37.0;32.0;37.0;36.0;36.0;43.0;35.0;51.0;35.0;58.0;35.0;60.0;37.0;58.0;q
22.0;52.0;24.0;51.0;25.0;50.0;27.0;49.0;28.0;48.0;29.0;47.0;30.0;45.0;30.0;43.0;31.0;42.0;31.0;39.0;32.0;38.0;32.0;36.0;33.0;34.0;34.0;33.0;35.0;34.0;36.0;34.0;36.0;37.0;36.0;38.0;37.0;38.0;37.0;39.0;36.0;40.0;35.0;41.0;34.0;43.0;34.0;45.0;34.0;47.0;34.0;49.0;35.0;51.0;35.0;53.0;36.0;55.0;36.0;56.0;37.0;56.0;38.0;55.0;r
24.0;46.0;26.0;45.0;27.0;44.0;29.0;42.0;30.0;41.0;31.0;40.0;33.0;39.0;34.0;38.0;35.0;36.0;36.0;35.0;37.0;33.0;38.0;31.0;39.0;30.0;39.0;28.0;40.0;25.0;40.0;27.0;41.0;28.0;42.0;29.0;43.0;30.0;43.0;32.0;44.0;33.0;44.0;35.0;45.0;36.0;45.0;38.0;45.0;40.0;44.0;40.0;43.0;41.0;42.0;42.0;41.0;43.0;40.0;43.0;39.0;44.0;38.0;44.0;s
36.0;22.0;36.0;22.0;36.0;22.0;36.0;22.0;36.0;23.0;36.0;23.0;36.0;24.0;35.0;26.0;35.0;28.0;34.0;31.0;34.0;35.0;33.0;39.0;33.0;43.0;33.0;46.0;33.0;49.0;34.0;51.0;34.0;52.0;35.0;53.0;36.0;53.0;37.0;53.0;39.0;52.0;40.0;51.0;42.0;50.0;42.0;31.0;42.0;31.0;41.0;31.0;40.0;32.0;39.0;33.0;38.0;34.0;37.0;35.0;35.0;36.0;34.0;38.0;t
34.0;33.0;34.0;33.0;34.0;34.0;34.0;35.0;34.0;36.0;34.0;37.0;33.0;39.0;33.0;40.0;33.0;42.0;33.0;44.0;33.0;47.0;34.0;49.0;34.0;51.0;35.0;53.0;35.0;54.0;36.0;54.0;36.0;55.0;37.0;55.0;38.0;54.0;39.0;53.0;40.0;51.0;41.0;49.0;42.0;47.0;43.0;46.0;43.0;44.0;43.0;42.0;43.0;40.0;44.0;39.0;43.0;37.0;43.0;36.0;43.0;35.0;43.0;34.0;u
24.0;38.0;25.0;37.0;26.0;36.0;27.0;35.0;28.0;35.0;29.0;34.0;30.0;34.0;32.0;34.0;33.0;34.0;34.0;33.0;34.0;36.0;33.0;40.0;32.0;46.0;32.0;50.0;32.0;52.0;32.0;54.0;33.0;55.0;34.0;52.0;35.0;49.0;37.0;45.0;38.0;42.0;38.0;39.0;38.0;37.0;38.0;34.0;39.0;34.0;39.0;35.0;40.0;35.0;42.0;35.0;43.0;35.0;45.0;35.0;46.0;35.0;46.0;36.0;v
31.0;35.0;31.0;38.0;30.0;40.0;30.0;42.0;30.0;44.0;29.0;47.0;29.0;52.0;30.0;53.0;31.0;53.0;33.0;53.0;35.0;52.0;36.0;51.0;37.0;49.0;39.0;47.0;39.0;45.0;39.0;42.0;38.0;44.0;38.0;46.0;38.0;49.0;38.0;51.0;39.0;51.0;43.0;51.0;44.0;49.0;45.0;48.0;45.0;46.0;46.0;44.0;46.0;41.0;46.0;39.0;46.0;37.0;46.0;35.0;46.0;32.0;45.0;33.0;w
40.0;34.0;41.0;35.0;41.0;35.0;41.0;35.0;41.0;35.0;41.0;35.0;40.0;35.0;39.0;36.0;37.0;39.0;34.0;44.0;32.0;49.0;31.0;50.0;31.0;51.0;31.0;51.0;40.0;49.0;40.0;49.0;41.0;49.0;41.0;49.0;40.0;49.0;40.0;48.0;39.0;47.0;39.0;46.0;38.0;45.0;37.0;44.0;36.0;42.0;34.0;41.0;33.0;40.0;31.0;39.0;29.0;37.0;28.0;36.0;27.0;36.0;26.0;34.0;x
30.0;30.0;30.0;30.0;30.0;30.0;31.0;31.0;31.0;33.0;32.0;35.0;32.0;37.0;32.0;39.0;33.0;41.0;33.0;44.0;34.0;45.0;34.0;46.0;34.0;47.0;35.0;47.0;35.0;47.0;35.0;47.0;35.0;47.0;36.0;46.0;42.0;29.0;41.0;31.0;41.0;33.0;40.0;35.0;39.0;37.0;38.0;40.0;36.0;44.0;35.0;48.0;34.0;52.0;32.0;56.0;31.0;60.0;30.0;62.0;28.0;66.0;28.0;67.0;y
22.0;41.0;24.0;40.0;25.0;39.0;26.0;38.0;27.0;37.0;28.0;36.0;29.0;36.0;30.0;36.0;31.0;36.0;32.0;36.0;33.0;35.0;34.0;36.0;32.0;38.0;32.0;40.0;31.0;42.0;30.0;45.0;29.0;49.0;27.0;55.0;26.0;58.0;25.0;60.0;25.0;57.0;26.0;56.0;26.0;54.0;27.0;53.0;28.0;51.0;29.0;52.0;30.0;53.0;31.0;54.0;32.0;54.0;34.0;54.0;36.0;53.0;38.0;52.0;z
39.0;31.0;40.0;31.0;41.0;29.0;41.0;27.0;40.0;27.0;38.0;29.0;36.0;30.0;35.0;32.0;34.0;34.0;32.0;35.0;31.0;37.0;31.0;39.0;30.0;40.0;30.0;42.0;29.0;43.0;31.0;45.0;34.0;44.0;35.0;43.0;36.0;42.0;39.0;40.0;40.0;38.0;41.0;37.0;42.0;35.0;45.0;30.0;45.0;27.0;44.0;29.0;44.0;32.0;44.0;37.0;44.0;39.0;45.0;41.0;48.0;41.0;50.0;41.0;a
35.0;17.0;35.0;19.0;34.0;20.0;33.0;21.0;32.0;25.0;31.0;30.0;30.0;37.0;30.0;40.0;29.0;43.0;29.0;45.0;29.0;47.0;29.0;48.0;28.0;49.0;29.0;50.0;29.0;51.0;30.0;52.0;31.0;53.0;32.0;52.0;34.0;51.0;35.0;49.0;36.0;47.0;38.0;46.0;39.0;44.0;39.0;42.0;39.0;41.0;39.0;39.0;38.0;38.0;36.0;38.0;34.0;39.0;32.0;40.0;31.0;41.0;30.0;41.0;b
41.0;28.0;42.0;28.0;42.0;28.0;42.0;28.0;42.0;28.0;41.0;28.0;41.0;28.0;40.0;27.0;39.0;27.0;38.0;28.0;37.0;28.0;36.0;29.0;35.0;30.0;33.0;31.0;32.0;33.0;31.0;34.0;30.0;35.0;29.0;37.0;29.0;38.0;29.0;40.0;30.0;41.0;30.0;42.0;31.0;43.0;32.0;43.0;35.0;44.0;38.0;43.0;40.0;42.0;41.0;42.0;42.0;41.0;43.0;41.0;43.0;41.0;-1.0;-1.0;c
41.0;37.0;39.0;38.0;37.0;40.0;35.0;42.0;34.0;44.0;33.0;45.0;32.0;49.0;32.0;54.0;33.0;55.0;35.0;55.0;37.0;52.0;40.0;49.0;42.0;44.0;43.0;41.0;45.0;36.0;45.0;33.0;46.0;30.0;47.0;25.0;47.0;22.0;47.0;18.0;48.0;16.0;46.0;22.0;45.0;27.0;45.0;31.0;44.0;34.0;44.0;38.0;44.0;42.0;44.0;46.0;44.0;49.0;45.0;51.0;46.0;53.0;47.0;53.0;d
34.0;41.0;35.0;41.0;35.0;41.0;35.0;41.0;35.0;41.0;35.0;41.0;36.0;41.0;36.0;41.0;37.0;41.0;38.0;40.0;40.0;39.0;42.0;37.0;42.0;36.0;43.0;35.0;43.0;34.0;43.0;34.0;43.0;33.0;43.0;32.0;42.0;33.0;41.0;33.0;40.0;34.0;39.0;35.0;36.0;38.0;34.0;42.0;33.0;45.0;33.0;48.0;33.0;49.0;33.0;51.0;33.0;52.0;35.0;53.0;37.0;53.0;40.0;51.0;e
32.0;44.0;33.0;44.0;34.0;43.0;35.0;41.0;37.0;36.0;39.0;33.0;40.0;31.0;43.0;25.0;44.0;23.0;44.0;16.0;42.0;17.0;41.0;17.0;39.0;20.0;36.0;25.0;34.0;27.0;33.0;30.0;32.0;34.0;31.0;37.0;30.0;41.0;29.0;45.0;27.0;51.0;26.0;57.0;24.0;62.0;23.0;64.0;21.0;66.0;19.0;68.0;20.0;63.0;22.0;59.0;23.0;57.0;31.0;50.0;32.0;50.0;33.0;50.0;f
39.0;28.0;38.0;27.0;37.0;28.0;36.0;28.0;35.0;29.0;34.0;31.0;33.0;32.0;32.0;33.0;31.0;34.0;32.0;41.0;33.0;42.0;34.0;42.0;35.0;41.0;36.0;41.0;37.0;40.0;38.0;38.0;39.0;37.0;38.0;45.0;37.0;50.0;36.0;58.0;35.0;61.0;34.0;64.0;33.0;66.0;32.0;68.0;26.0;69.0;29.0;61.0;31.0;57.0;32.0;56.0;33.0;53.0;34.0;52.0;35.0;51.0;36.0;50.0;g
27.0;48.0;29.0;47.0;29.0;46.0;30.0;44.0;32.0;41.0;36.0;35.0;37.0;33.0;38.0;31.0;38.0;29.0;39.0;28.0;39.0;26.0;38.0;26.0;37.0;27.0;36.0;27.0;35.0;31.0;34.0;34.0;34.0;37.0;31.0;47.0;31.0;50.0;30.0;53.0;29.0;56.0;28.0;59.0;28.0;62.0;29.0;58.0;31.0;55.0;33.0;52.0;34.0;51.0;35.0;50.0;35.0;54.0;35.0;57.0;36.0;60.0;38.0;59.0;h
34.0;37.0;35.0;38.0;35.0;38.0;35.0;38.0;35.0;38.0;35.0;38.0;35.0;38.0;35.0;38.0;35.0;39.0;35.0;40.0;34.0;42.0;34.0;43.0;34.0;45.0;34.0;47.0;35.0;48.0;35.0;50.0;36.0;51.0;36.0;52.0;37.0;52.0;37.0;52.0;38.0;52.0;39.0;52.0;40.0;51.0;38.0;18.0;39.0;18.0;39.0;19.0;40.0;19.0;40.0;19.0;40.0;19.0;40.0;19.0;40.0;19.0;40.0;19.0;i
32.0;39.0;33.0;40.0;34.0;39.0;35.0;38.0;36.0;36.0;37.0;33.0;38.0;32.0;39.0;30.0;40.0;29.0;42.0;26.0;39.0;34.0;38.0;40.0;36.0;49.0;35.0;53.0;34.0;57.0;33.0;60.0;32.0;63.0;31.0;65.0;30.0;67.0;29.0;68.0;28.0;68.0;29.0;62.0;29.0;60.0;30.0;59.0;31.0;57.0;32.0;54.0;34.0;52.0;37.0;45.0;38.0;44.0;39.0;43.0;41.0;44.0;44.0;7.0;j
32.0;46.0;33.0;47.0;34.0;47.0;35.0;45.0;36.0;44.0;37.0;41.0;38.0;39.0;41.0;34.0;43.0;31.0;45.0;27.0;44.0;23.0;41.0;26.0;39.0;29.0;37.0;32.0;36.0;36.0;35.0;38.0;34.0;41.0;34.0;44.0;32.0;50.0;31.0;55.0;30.0;58.0;34.0;49.0;35.0;48.0;36.0;48.0;36.0;51.0;35.0;53.0;33.0;56.0;32.0;57.0;31.0;58.0;34.0;59.0;36.0;59.0;37.0;58.0;k
27.0;54.0;29.0;53.0;30.0;51.0;31.0;50.0;32.0;49.0;35.0;43.0;37.0;38.0;38.0;36.0;40.0;33.0;41.0;31.0;42.0;29.0;43.0;26.0;45.0;23.0;45.0;21.0;43.0;24.0;42.0;25.0;41.0;26.0;40.0;28.0;39.0;29.0;38.0;32.0;37.0;35.0;36.0;38.0;35.0;41.0;34.0;45.0;33.0;47.0;33.0;50.0;33.0;52.0;34.0;53.0;36.0;53.0;37.0;53.0;38.0;52.0;40.0;51.0;l
22.0;59.0;24.0;56.0;27.0;50.0;30.0;45.0;32.0;43.0;33.0;42.0;33.0;49.0;32.0;54.0;31.0;58.0;32.0;59.0;33.0;56.0;34.0;52.0;36.0;48.0;37.0;45.0;38.0;44.0;40.0;43.0;39.0;48.0;38.0;54.0;37.0;58.0;36.0;61.0;39.0;56.0;40.0;53.0;41.0;49.0;42.0;46.0;43.0;46.0;42.0;49.0;41.0;52.0;40.0;58.0;39.0;61.0;40.0;62.0;41.0;62.0;44.0;60.0;m
35.0;37.0;34.0;37.0;34.0;38.0;34.0;39.0;33.0;41.0;33.0;43.0;32.0;45.0;32.0;48.0;32.0;51.0;31.0;54.0;31.0;57.0;31.0;59.0;31.0;61.0;30.0;62.0;30.0;63.0;30.0;63.0;31.0;62.0;35.0;44.0;36.0;43.0;37.0;42.0;37.0;42.0;38.0;41.0;39.0;41.0;39.0;42.0;39.0;43.0;39.0;45.0;39.0;49.0;38.0;55.0;38.0;59.0;38.0;61.0;39.0;61.0;41.0;59.0;n
36.0;36.0;37.0;36.0;37.0;35.0;36.0;35.0;35.0;36.0;34.0;36.0;33.0;37.0;32.0;38.0;31.0;40.0;30.0;43.0;30.0;44.0;29.0;46.0;30.0;49.0;31.0;50.0;32.0;51.0;34.0;51.0;35.0;51.0;36.0;50.0;38.0;49.0;39.0;48.0;40.0;46.0;41.0;45.0;42.0;43.0;43.0;41.0;43.0;39.0;43.0;38.0;42.0;36.0;41.0;35.0;40.0;33.0;39.0;32.0;38.0;32.0;37.0;32.0;o
37.0;24.0;36.0;24.0;36.0;27.0;35.0;28.0;35.0;30.0;34.0;32.0;33.0;36.0;32.0;44.0;31.0;49.0;30.0;53.0;29.0;57.0;29.0;62.0;29.0;61.0;30.0;59.0;35.0;26.0;34.0;27.0;37.0;26.0;38.0;25.0;39.0;25.0;41.0;24.0;42.0;26.0;42.0;27.0;42.0;29.0;41.0;30.0;41.0;31.0;40.0;32.0;39.0;33.0;38.0;34.0;36.0;35.0;35.0;36.0;34.0;38.0;32.0;39.0;p
39.0;33.0;40.0;32.0;41.0;31.0;40.0;30.0;39.0;31.0;38.0;32.0;36.0;33.0;35.0;34.0;34.0;35.0;33.0;37.0;32.0;38.0;31.0;40.0;30.0;43.0;30.0;46.0;30.0;48.0;31.0;49.0;32.0;49.0;34.0;48.0;36.0;46.0;38.0;43.0;40.0;40.0;41.0;37.0;41.0;35.0;41.0;34.0;41.0;33.0;40.0;34.0;40.0;36.0;38.0;41.0;37.0;49.0;36.0;57.0;36.0;60.0;36.0;63.0;q
34.0;27.0;34.0;28.0;33.0;29.0;33.0;31.0;33.0;33.0;32.0;35.0;32.0;38.0;31.0;42.0;30.0;46.0;30.0;49.0;30.0;52.0;30.0;53.0;30.0;54.0;30.0;55.0;30.0;54.0;30.0;53.0;30.0;52.0;34.0;32.0;35.0;32.0;35.0;31.0;36.0;30.0;36.0;29.0;37.0;29.0;37.0;29.0;38.0;30.0;38.0;30.0;39.0;31.0;40.0;31.0;41.0;32.0;42.0;32.0;43.0;32.0;44.0;32.0;r
27.0;41.0;29.0;41.0;29.0;40.0;31.0;39.0;32.0;38.0;33.0;37.0;34.0;36.0;35.0;35.0;36.0;33.0;37.0;31.0;37.0;28.0;38.0;27.0;38.0;29.0;38.0;32.0;39.0;33.0;40.0;35.0;41.0;36.0;42.0;37.0;43.0;38.0;43.0;39.0;44.0;40.0;43.0;41.0;43.0;42.0;42.0;42.0;41.0;43.0;40.0;43.0;40.0;44.0;39.0;44.0;38.0;44.0;37.0;44.0;37.0;42.0;38.0;41.0;s
36.0;16.0;36.0;17.0;36.0;17.0;36.0;17.0;36.0;17.0;36.0;18.0;35.0;19.0;35.0;21.0;34.0;23.0;33.0;25.0;33.0;28.0;33.0;31.0;32.0;35.0;32.0;38.0;32.0;41.0;32.0;43.0;33.0;45.0;33.0;46.0;34.0;47.0;36.0;47.0;38.0;45.0;42.0;42.0;41.0;21.0;41.0;21.0;41.0;22.0;40.0;22.0;39.0;22.0;38.0;23.0;36.0;25.0;35.0;26.0;33.0;28.0;32.0;29.0;t
31.0;30.0;30.0;30.0;30.0;31.0;30.0;32.0;30.0;34.0;29.0;36.0;29.0;38.0;29.0;40.0;29.0;43.0;29.0;45.0;29.0;47.0;30.0;48.0;30.0;49.0;31.0;49.0;31.0;48.0;32.0;47.0;33.0;46.0;34.0;45.0;35.0;43.0;36.0;41.0;37.0;40.0;37.0;38.0;38.0;37.0;38.0;35.0;38.0;34.0;38.0;33.0;38.0;32.0;38.0;31.0;38.0;31.0;38.0;31.0;38.0;31.0;38.0;31.0;u
21.0;42.0;23.0;42.0;24.0;42.0;25.0;41.0;27.0;41.0;28.0;41.0;28.0;44.0;28.0;45.0;27.0;47.0;27.0;49.0;27.0;52.0;27.0;54.0;27.0;56.0;28.0;58.0;29.0;58.0;30.0;57.0;31.0;55.0;32.0;54.0;33.0;52.0;33.0;50.0;34.0;49.0;34.0;47.0;34.0;45.0;34.0;42.0;34.0;41.0;35.0;41.0;36.0;41.0;37.0;41.0;38.0;41.0;39.0;40.0;39.0;41.0;40.0;41.0;v
22.0;48.0;24.0;47.0;25.0;46.0;27.0;43.0;29.0;41.0;30.0;41.0;29.0;46.0;28.0;50.0;28.0;53.0;28.0;57.0;29.0;63.0;32.0;62.0;33.0;60.0;34.0;57.0;35.0;54.0;35.0;47.0;35.0;51.0;35.0;54.0;36.0;58.0;38.0;61.0;40.0;60.0;41.0;58.0;42.0;57.0;43.0;54.0;43.0;52.0;43.0;50.0;42.0;50.0;40.0;49.0;43.0;48.0;44.0;47.0;46.0;47.0;48.0;46.0;w
43.0;44.0;43.0;44.0;43.0;44.0;43.0;44.0;43.0;44.0;42.0;45.0;41.0;46.0;40.0;48.0;39.0;51.0;37.0;55.0;36.0;58.0;34.0;61.0;33.0;66.0;32.0;69.0;42.0;65.0;43.0;65.0;43.0;66.0;43.0;66.0;43.0;66.0;43.0;66.0;43.0;65.0;43.0;65.0;42.0;64.0;41.0;62.0;40.0;60.0;39.0;58.0;38.0;56.0;36.0;54.0;35.0;52.0;31.0;49.0;27.0;46.0;25.0;45.0;x
30.0;33.0;31.0;33.0;31.0;32.0;32.0;34.0;34.0;36.0;35.0;40.0;37.0;43.0;38.0;47.0;38.0;48.0;39.0;49.0;45.0;33.0;46.0;33.0;46.0;34.0;46.0;34.0;46.0;34.0;46.0;34.0;46.0;34.0;46.0;34.0;46.0;34.0;46.0;34.0;46.0;34.0;45.0;35.0;44.0;37.0;43.0;39.0;42.0;41.0;40.0;45.0;37.0;54.0;35.0;63.0;34.0;66.0;34.0;68.0;34.0;69.0;34.0;70.0;y
31.0;40.0;33.0;39.0;33.0;38.0;35.0;37.0;36.0;37.0;37.0;37.0;38.0;37.0;39.0;38.0;40.0;39.0;41.0;39.0;42.0;39.0;44.0;38.0;43.0;38.0;42.0;41.0;41.0;43.0;40.0;45.0;40.0;48.0;39.0;50.0;38.0;53.0;36.0;58.0;35.0;59.0;35.0;61.0;34.0;60.0;35.0;57.0;36.0;56.0;37.0;56.0;38.0;56.0;39.0;56.0;40.0;56.0;41.0;56.0;42.0;55.0;43.0;55.0;z
35.0;32.0;36.0;32.0;35.0;31.0;34.0;32.0;33.0;33.0;32.0;34.0;31.0;35.0;29.0;37.0;28.0;38.0;28.0;40.0;27.0;43.0;27.0;45.0;28.0;46.0;30.0;46.0;32.0;46.0;34.0;44.0;36.0;42.0;37.0;40.0;38.0;39.0;38.0;37.0;39.0;35.0;40.0;32.0;40.0;31.0;40.0;32.0;39.0;36.0;39.0;38.0;40.0;41.0;40.0;42.0;41.0;42.0;41.0;43.0;42.0;42.0;43.0;42.0;a
36.0;20.0;35.0;22.0;35.0;25.0;34.0;27.0;34.0;29.0;33.0;31.0;33.0;34.0;33.0;37.0;32.0;40.0;32.0;43.0;32.0;45.0;32.0;47.0;32.0;49.0;33.0;51.0;34.0;52.0;35.0;53.0;37.0;53.0;38.0;52.0;39.0;51.0;40.0;49.0;42.0;48.0;43.0;46.0;44.0;44.0;44.0;42.0;45.0;41.0;44.0;37.0;43.0;36.0;42.0;36.0;40.0;36.0;39.0;36.0;38.0;37.0;37.0;38.0;b
